true_label;assigned_label;result
1;1;TP
1;1;TP
0;0;TN
0;0;TN
1;1;TP
0;0;TN
0;0;TN
1;1;TP
0;0;TN
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
1;1;TP
0;0;TN
0;0;TN
1;1;TP
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
1;1;TP
0;0;TN
0;0;TN
1;1;TP
0;0;TN
1;1;TP
0;0;TN
1;1;TP
0;0;TN
1;1;TP
0;0;TN
0;0;TN
0;0;TN
1;1;TP
0;0;TN
0;0;TN
1;1;TP
1;1;TP
0;0;TN
0;0;TN
1;1;TP
1;1;TP
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
1;1;TP
1;1;TP
1;1;TP
0;0;TN
0;0;TN
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
0;0;TN
0;0;TN
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
1;1;TP
1;1;TP
1;1;TP
0;0;TN
0;0;TN
0;0;TN
0;0;TN
1;1;TP
0;0;TN
1;1;TP
0;0;TN
0;0;TN
1;1;TP
1;1;TP
0;0;TN
0;0;TN
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
0;0;TN
0;0;TN
0;0;TN
1;1;TP
1;1;TP
0;0;TN
1;1;TP
1;1;TP
1;1;TP
1;1;TP
0;0;TN
0;0;TN
0;0;TN
1;1;TP
1;0;FN
0;0;TN
1;1;TP
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
0;0;TN
1;1;TP
0;0;TN
1;1;TP
1;1;TP
1;1;TP
0;0;TN
1;1;TP
1;1;TP
0;0;TN
0;0;TN
0;0;TN
1;1;TP
0;0;TN
1;1;TP
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
0;0;TN
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;0;FN
1;1;TP
1;0;FN
1;0;FN
1;0;FN
1;0;FN
1;0;FN
1;0;FN
1;1;TP
1;1;TP
1;0;FN
1;0;FN
1;1;TP
1;0;FN
1;1;TP
1;1;TP
1;0;FN
1;0;FN
1;1;TP
1;1;TP
1;1;TP
1;1;TP
1;0;FN
1;0;FN
1;1;TP
1;1;TP
1;1;TP
